Medidas,Largo,Ancho,Alto,Grosor,Codigo_Grosor,Litros,Precio,Ratio_Seguridad,Deflexion,Grosor_Original,Ajustado
80x50x50,80,50,50,10mm,3,200,239.87,4.8,0.05,10mm,No
80x50x60,80,50,60,12mm,4,240,402.09,4.92,0.04,10mm,Si
80x50x70,80,50,70,15mm,5,280,621.18,4.84,0.04,15mm,No
80x60x50,80,60,50,10mm,3,240,261.97,4.8,0.05,10mm,No
80x60x60,80,60,60,12mm,4,288,438.27,4.92,0.04,10mm,Si
80x60x70,80,60,70,15mm,5,336,677.6,4.84,0.04,15mm,No
80x70x50,80,70,50,10mm,3,280,284.07,4.8,0.05,10mm,No
80x70x60,80,70,60,12mm,4,336,474.46,4.92,0.04,10mm,Si
80x70x70,80,70,70,15mm,5,392,734.02,4.84,0.04,15mm,No
90x50x50,90,50,50,10mm,3,225,258.8,4.8,0.05,10mm,No
90x50x60,90,50,60,12mm,4,270,433.48,4.92,0.04,10mm,Si
90x50x70,90,50,70,15mm,5,315,670.49,4.84,0.04,15mm,No
90x60x50,90,60,50,10mm,3,270,281.95,4.8,0.05,10mm,No
90x60x60,90,60,60,12mm,4,324,471.26,4.92,0.04,10mm,Si
90x60x70,90,60,70,15mm,5,378,729.27,4.84,0.04,15mm,No
90x70x50,90,70,50,10mm,3,315,305.11,4.8,0.05,10mm,No
90x70x60,90,70,60,12mm,4,378,509.04,4.92,0.04,10mm,Si
90x70x70,90,70,70,15mm,5,441,788.06,4.84,0.04,15mm,No
100x50x50,100,50,50,10mm,3,250,277.72,4.8,0.05,10mm,No
100x50x60,100,50,60,12mm,4,300,464.87,4,0.06,10mm,Si
100x50x70,100,50,70,15mm,5,350,719.79,4.84,0.04,15mm,No
100x60x50,100,60,50,10mm,3,300,301.93,4.8,0.05,10mm,No
100x60x60,100,60,60,12mm,4,360,504.25,4,0.06,10mm,Si
100x60x70,100,60,70,15mm,5,420,780.94,4.84,0.04,15mm,No
100x70x50,100,70,50,10mm,3,350,326.15,4.8,0.05,10mm,No
100x70x60,100,70,60,12mm,4,420,543.63,4,0.06,10mm,Si
100x70x70,100,70,70,15mm,5,490,842.1,4.84,0.04,15mm,No
110x50x50,110,50,50,10mm,3,275,296.64,4.39,0.06,10mm,No
110x50x60,110,50,60,12mm,4,330,496.26,4,0.06,10mm,Si
110x60x50,110,60,50,10mm,3,330,321.92,4.39,0.06,10mm,No
110x60x60,110,60,60,12mm,4,396,537.24,4,0.06,10mm,Si
110x70x50,110,70,50,10mm,3,385,347.19,4.39,0.06,10mm,No
110x70x60,110,70,60,12mm,4,462,578.22,4,0.06,10mm,Si
120x50x50,120,50,50,10mm,3,300,315.57,4.39,0.06,10mm,No
120x50x60,120,50,60,12mm,4,360,527.66,4,0.06,10mm,Si
120x60x50,120,60,50,10mm,3,360,341.9,4.39,0.06,10mm,No
120x60x60,120,60,60,12mm,4,432,570.23,4,0.06,12mm,No
120x70x50,120,70,50,10mm,3,420,368.23,4.39,0.06,10mm,No
120x70x60,120,70,60,12mm,4,504,612.8,4,0.06,12mm,No
130x50x50,130,50,50,10mm,3,325,334.49,4.15,0.06,10mm,No
130x50x60,130,50,60,15mm,5,390,776.66,5.71,0.03,10mm,Si
130x60x50,130,60,50,10mm,3,390,361.88,4.15,0.06,10mm,No
130x60x60,130,60,60,15mm,5,468,840.19,5.71,0.03,12mm,Si
130x70x50,130,70,50,10mm,3,455,389.27,4.15,0.06,10mm,No
130x70x60,130,70,60,15mm,5,546,903.72,5.71,0.03,12mm,Si
140x50x50,140,50,50,10mm,3,350,353.41,4.15,0.06,10mm,No
140x50x60,140,50,60,15mm,5,420,821.21,5.71,0.03,10mm,Si
140x60x50,140,60,50,10mm,3,420,381.86,4.15,0.06,10mm,No
140x60x60,140,60,60,15mm,5,504,887.11,5.71,0.03,12mm,Si
140x70x50,140,70,50,10mm,3,490,410.31,4.15,0.06,10mm,No
140x70x60,140,70,60,15mm,5,588,953.02,5.71,0.03,12mm,Si
150x50x50,150,50,50,10mm,3,375,372.34,4.15,0.06,10mm,No
150x50x60,150,50,60,15mm,5,450,865.77,5.71,0.03,10mm,Si
150x50x70,150,50,70,19mm,6,525,1520.2,5.77,0.02,15mm,Si
150x60x50,150,60,50,10mm,3,450,401.84,4.15,0.06,10mm,No
150x60x60,150,60,60,15mm,5,540,934.04,5.71,0.03,12mm,Si
150x60x70,150,60,70,19mm,6,630,1637.28,5.77,0.02,12mm,Si
150x70x50,150,70,50,10mm,3,525,431.35,4.15,0.06,10mm,No
150x70x60,150,70,60,15mm,5,630,1002.32,5.71,0.03,12mm,Si
150x70x70,150,70,70,19mm,6,735,1754.37,5.77,0.02,12mm,Si
160x50x50,160,50,50,10mm,3,400,391.26,4.15,0.06,10mm,No
160x50x60,160,50,60,15mm,5,480,910.33,5.41,0.03,10mm,Si
160x50x70,160,50,70,19mm,6,560,1598.66,5.77,0.02,15mm,Si
160x60x50,160,60,50,10mm,3,480,421.82,4.15,0.06,10mm,No
160x60x60,160,60,60,15mm,5,576,980.97,5.41,0.03,12mm,Si
160x60x70,160,60,70,19mm,6,672,1719.61,5.77,0.02,12mm,Si
160x70x50,160,70,50,10mm,3,560,452.39,4.15,0.06,10mm,No
160x70x60,160,70,60,15mm,5,672,1051.62,5.41,0.03,12mm,Si
160x70x70,160,70,70,19mm,6,784,1840.56,5.77,0.02,12mm,Si
170x50x50,170,50,50,10mm,3,425,410.18,4.15,0.06,10mm,No
170x50x60,170,50,60,15mm,5,510,954.88,5.41,0.03,10mm,Si
170x50x70,170,50,70,19mm,6,595,1677.13,5.77,0.02,15mm,Si
170x60x50,170,60,50,10mm,3,510,441.8,4.15,0.06,10mm,No
170x60x60,170,60,60,15mm,5,612,1027.9,5.41,0.03,12mm,Si
170x60x70,170,60,70,19mm,6,714,1801.94,5.77,0.02,12mm,Si
170x70x50,170,70,50,10mm,3,595,473.43,4.15,0.06,10mm,No
170x70x60,170,70,60,15mm,5,714,1100.92,5.41,0.03,12mm,Si
170x70x70,170,70,70,19mm,6,833,1926.76,5.77,0.02,12mm,Si
180x50x50,180,50,50,10mm,3,450,429.1,4.15,0.06,10mm,No
180x50x60,180,50,60,15mm,5,540,999.44,5.41,0.03,10mm,Si
180x50x70,180,50,70,19mm,6,630,1755.59,5.46,0.02,15mm,Si
180x60x50,180,60,50,10mm,3,540,461.79,4.15,0.06,10mm,No
180x60x60,180,60,60,15mm,5,648,1074.83,5.41,0.03,12mm,Si
180x60x70,180,60,70,19mm,6,756,1884.27,5.46,0.02,12mm,Si
180x70x50,180,70,50,10mm,3,630,494.47,4.15,0.06,10mm,No
180x70x60,180,70,60,15mm,5,756,1150.22,5.41,0.03,12mm,Si
180x70x70,180,70,70,19mm,6,882,2012.95,5.46,0.02,12mm,Si
190x50x50,190,50,50,10mm,3,475,448.03,4.15,0.06,10mm,No
190x50x60,190,50,60,15mm,5,570,1044,5.41,0.03,10mm,Si
190x50x70,190,50,70,19mm,6,665,1834.06,5.46,0.02,15mm,Si
190x60x50,190,60,50,10mm,3,570,481.77,4.15,0.06,10mm,No
190x60x60,190,60,60,15mm,5,684,1121.76,5.41,0.03,12mm,Si
190x60x70,190,60,70,19mm,6,798,1966.6,5.46,0.02,12mm,Si
